Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$8 000 to 9 999,White,Male,12,46,0,44
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,2,86,7,0
Working fulltime,Private,Yes,No,Not at all likely,Somewhat easy,Not too likely,"Uninc,med city",$35000 to 39999,White,Male,11,28,3,38
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,11,33,2,0
Working fulltime,Private,No,No,Not at all likely,Very easy,Don't know,"Uninc,med city",Refused,White,Female,12,58,1,28
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$60000 to 74999,Other,Male,10,33,0,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$12500 to 14999,White,Female,8,65,3,31
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,11,18,0,0
Other,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,11,63,4,43
Working parttime,Private,Yes,Yes,Very likely,Not easy,Very likely,"Uninc,med city",$10000 to 12499,White,Female,8,40,3,25
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Uninc,med city",$15000 to 17499,White,Female,8,54,4,25
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",Don't know,White,Male,16,64,3,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$10000 to 12499,Other,Male,7,38,3,27
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",Under $1 000,White,Female,14,32,2,55
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Uninc,lrg city",Refused,White,Female,7,67,Eight or more,48
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,12,45,1,27
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Fairly likely,"Uninc,lrg city",$17500 to 19999,White,Female,12,71,3,31
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$25000 to 29999,White,Female,16,49,1,64
Working fulltime,Government,No,No,Somewhat likely,Not easy,Not too likely,"Uninc,lrg city",$110000 or over,White,Male,20,53,2,51
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,16,52,2,65
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,16,42,1,55
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,16,30,0,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,16,30,2,49
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$75000 to $89999,White,Male,18,42,2,38
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Uninc,lrg city",Refused,White,Male,12,63,2,43
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,12,59,5,0
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,"Uninc,lrg city",$35000 to 39999,White,Male,16,43,2,50
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Uninc,lrg city",$110000 or over,White,Male,15,40,2,49
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$35000 to 39999,White,Female,14,56,1,39
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,Black,Female,14,48,3,37
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,12,51,2,33
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,$60000 to 74999,White,Male,13,61,3,59
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,16,65,1,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$22500 to 24999,White,Female,13,25,2,48
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,Open country,$17500 to 19999,Black,Female,15,32,2,32
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,11,28,4,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$25000 to 29999,White,Male,12,60,6,28
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,12,74,3,35
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,Open country,$25000 to 29999,White,Male,12,56,3,42
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not likely,Open country,$20000 to 22499,White,Male,9,65,3,35
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,79,2,0
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,69,3,31
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,12,71,4,41
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,86,3,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,Open country,$30000 to 34999,White,Male,12,25,0,35
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not likely,Open country,$12500 to 14999,White,Female,13,19,0,31
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Male,13,30,1,29
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,Open country,$25000 to 29999,White,Male,12,49,3,28
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,$22500 to 24999,White,Female,13,56,3,42
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Female,16,43,2,64
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,12,67,6,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,$17500 to 19999,Black,Female,13,31,3,48
Retired,Private,Yes,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,Black,Female,7,62,7,48
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,Black,Male,12,60,0,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Town gt 2500,$17500 to 19999,Black,Male,13,24,0,22
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,Black,Male,12,68,4,24
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,Town gt 2500,$15000 to 17499,Black,Female,13,46,2,36
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,$17500 to 19999,Black,Male,12,47,3,22
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,Open country,$40000 to 49999,White,Male,16,40,3,50
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,Open country,$40000 to 49999,White,Female,14,33,0,47
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$60000 to 74999,White,Male,16,69,2,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,9,83,4,35
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,Open country,$35000 to 39999,White,Male,14,33,1,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,$60000 to 74999,White,Male,13,33,2,38
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,White,Female,8,41,1,31
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,Town gt 2500,$8 000 to 9 999,White,Male,7,62,1,33
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Town gt 2500,$15000 to 17499,White,Female,13,42,4,22
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,White,Male,11,18,0,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,Town gt 2500,Not applicable,Black,Female,12,32,3,47
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Town gt 2500,Not applicable,Black,Female,14,22,1,38
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,Town gt 2500,$17500 to 19999,Black,Female,14,44,3,39
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,Black,Male,10,81,3,24
Working fulltime,Private,Yes,No,Somewhat likely,Somewhat easy,Not too likely,Town gt 2500,$22500 to 24999,Black,Male,9,25,0,45
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,8,73,3,0
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,67,2,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$20000 to 22499,White,Female,12,54,1,25
Working fulltime,Government,No,No,No answer,No answer,No answer,Open country,Not applicable,White,Female,14,53,2,61
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,11,82,1,46
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,15,60,2,34
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,Open country,$30000 to 34999,White,Male,14,51,2,62
Retired,Private,Yes,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,15,79,2,64
Working fulltime,Private,Yes,No,Very likely,Not applicable,Not applicable,Open country,$10000 to 12499,White,Female,16,33,3,47
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,12,49,1,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,Refused,White,Male,15,21,1,38
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Male,6,56,0,0
Working parttime,Private,Yes,No,Not at all likely,Not easy,Very likely,Open country,$7 000 to 7 999,Black,Female,11,77,2,34
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,15,46,3,0
Retired,Government,Yes,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,14,62,5,54
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,Refused,Black,Male,13,42,2,35
Temp not working,Government,Yes,No,Not at all likely,Not easy,Very likely,Open country,Not applicable,Black,Female,10,54,1,24
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,14,35,1,48
Working fulltime,Private,Yes,No,Very likely,Not applicable,Not applicable,Open country,Don't know,White,Male,12,23,3,31
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Male,6,56,5,45
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$12500 to 14999,Black,Female,12,28,3,25
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,Black,Female,20,28,2,61
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,35,0,48
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,10-49999",$15000 to 17499,Black,Male,12,40,1,44
School,Government,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",$15000 to 17499,Black,Male,15,26,2,47
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,10-49999",$110000 or over,White,Male,16,56,3,38
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,16,67,3,69
Working parttime,Private,Not applicable,Not applicable,Very likely,Very easy,Fairly likely,"City,10-49999",$12500 to 14999,Black,Male,10,46,2,36
Working fulltime,Private,Yes,No,Not at all likely,Very easy,Not too likely,"City,10-49999",$20000 to 22499,White,Male,11,23,0,44
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,9,47,2,0
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,10-49999",$17500 to 19999,Black,Female,13,48,3,48
Working fulltime,Private,No,No,Not at all likely,Very easy,Very likely,"City,10-49999",$22500 to 24999,White,Female,16,20,0,57
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",$60000 to 74999,White,Male,18,65,3,74
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",$40000 to 49999,White,Female,16,56,3,61
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"City,10-49999",$40000 to 49999,White,Male,16,25,0,31
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$12500 to 14999,Black,Male,14,35,1,32
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$12500 to 14999,Black,Female,11,33,4,24
Working parttime,Private,No answer,No answer,Not at all likely,Not easy,Very likely,Open country,$10000 to 12499,Black,Female,12,34,4,25
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Fairly likely,Open country,$10000 to 12499,Black,Female,10,23,2,48
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$90000 - $109999,Black,Female,19,49,3,54
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,17,54,4,49
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,20,50,1,0
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,30,1,0
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,63,3,0
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,33,0,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,Open country,$75000 to $89999,White,Male,14,64,3,45
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,Open country,$5 000 to 5 999,White,Female,16,47,3,61
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,Open country,$35000 to 39999,White,Male,16,27,1,63
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not likely,Open country,$17500 to 19999,White,Female,14,26,2,69
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,Open country,$30000 to 34999,White,Male,12,56,1,35
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Under $1 000,White,Female,11,43,3,31
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,10,39,2,25
Working parttime,Private,No,No,Very likely,Not easy,Not too likely,Open country,Not applicable,White,Male,16,65,7,34
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$7 000 to 7 999,Other,Male,8,18,3,44
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,14,50,2,56
Temp not working,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not too likely,Open country,$12500 to 14999,Black,Female,10,64,2,22
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not likely,Open country,$12500 to 14999,Black,Male,12,50,1,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,Don't know,Black,Male,11,37,3,35
Working fulltime,Private,No,No,Very likely,Not easy,Not too likely,Open country,$4 000 to 4 999,White,Male,12,26,0,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$22500 to 24999,Black,Female,12,52,0,32
Working fulltime,Private,No,No,Very likely,Very easy,Not likely,Open country,Under $1 000,White,Female,13,36,4,48
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$5 000 to 5 999,Black,Female,12,24,3,25
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,Open country,Refused,White,Female,12,53,1,50
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,Open country,$25000 to 29999,White,Female,16,36,2,39
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$1 000 to 2 999,White,Female,12,39,0,31
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,Under $1 000,White,Female,13,60,3,61
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Refused,White,Male,10,71,2,46
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,9,71,6,32
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$30000 to 34999,White,Female,15,47,2,33
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,9,71,1,55
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,11,84,2,38
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,9,88,2,37
Working parttime,Private,No,No,Not at all likely,Very easy,Not likely,Open country,$3 000 to 3 999,Black,Female,12,37,1,31
Working parttime,Private,No,No,Somewhat likely,Very easy,Not likely,Open country,Refused,Black,Female,14,47,2,48
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,Refused,Black,Male,13,54,3,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Male,14,37,1,44
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Don't know,Black,Female,12,61,5,22
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Fairly likely,Open country,$8 000 to 9 999,Black,Female,12,69,2,33
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$22500 to 24999,Black,Male,12,65,1,33
School,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Refused,Black,Female,12,37,1,24
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,Black,Female,12,65,3,48
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,"City,10-49999",$8 000 to 9 999,White,Male,11,21,0,31
Working parttime,Private,Yes,No,Very likely,Not easy,Not likely,"City,10-49999",$7 000 to 7 999,White,Male,11,43,2,35
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not too likely,"City,10-49999",$10000 to 12499,White,Female,12,47,3,24
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",$15000 to 17499,White,Male,6,58,0,25
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,Other,Female,12,71,4,45
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"City,10-49999",$22500 to 24999,White,Female,13,25,2,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",$17500 to 19999,White,Male,19,48,Eight or more,37
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Male,13,84,2,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,14,55,3,62
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",$17500 to 19999,White,Female,16,46,2,61
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,11,75,3,45
Working fulltime,Private,Yes,No,Very likely,Not easy,Fairly likely,"City,10-49999",Not applicable,White,Female,12,44,3,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,10-49999",$17500 to 19999,White,Female,9,43,2,48
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"City,10-49999",Not applicable,White,Female,14,22,1,25
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"City,10-49999",$8 000 to 9 999,White,Male,12,25,0,16
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"City,10-49999",$40000 to 49999,White,Male,12,36,2,31
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,10-49999",Refused,White,Female,12,48,2,55
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Town gt 2500,$15000 to 17499,White,Female,13,39,4,38
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,Other,Female,12,68,3,0
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Town gt 2500,$17500 to 19999,White,Female,13,25,1,28
Working parttime,Private,No,No,Very likely,Very easy,Very likely,Town gt 2500,Under $1 000,White,Female,15,30,2,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,Town gt 2500,$15000 to 17499,White,Female,14,31,4,36
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,$3 000 to 3 999,Other,Female,12,29,0,32
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$75000 to $89999,White,Male,12,43,3,49
Working parttime,Private,No,No,Somewhat likely,Very easy,Not likely,Open country,$7 000 to 7 999,White,Male,14,50,0,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,Open country,$60000 to 74999,White,Male,15,44,2,46
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$22500 to 24999,White,Male,12,41,0,40
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,Open country,Refused,White,Female,20,54,0,39
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$22500 to 24999,White,Female,12,33,1,47
Working fulltime,Private,No,No,Not at all likely,Very easy,Very likely,Open country,$12500 to 14999,White,Female,12,44,2,51
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,Open country,$15000 to 17499,White,Male,13,23,1,35
Other,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,52,0,69
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Open country,$50000 to 59999,White,Male,16,39,3,50
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,6,75,0,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,$25000 to 29999,White,Male,12,27,2,32
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,Under $1 000,White,Male,12,61,2,39
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Very likely,Open country,$17500 to 19999,White,Male,10,37,0,35
Working parttime,Private,No,No,Not at all likely,Not easy,Not likely,Open country,$8 000 to 9 999,White,Female,10,61,2,43
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,Black,Female,15,66,2,28
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,Open country,$50000 to 59999,White,Female,12,42,2,28
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Refused,Black,Male,11,53,3,39
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$4 000 to 4 999,White,Male,11,19,0,25
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Refused,White,Female,15,60,2,35
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$75000 to $89999,White,Male,15,45,3,45
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,Open country,$50000 to 59999,White,Male,12,51,2,59
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$17500 to 19999,White,Female,12,46,2,17
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,56,1,52
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,Open country,Not applicable,White,Male,11,33,2,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,Open country,Not applicable,White,Female,12,40,3,42
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,69,2,60
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Male,12,35,1,38
Working parttime,Private,No,No,Not at all likely,Very easy,Not likely,Open country,Not applicable,White,Female,12,53,3,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$35000 to 39999,White,Female,12,47,2,47
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,63,4,48
Working parttime,Private,Not applicable,Not applicable,No answer,No answer,No answer,Open country,$12500 to 14999,White,Female,14,25,0,31
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,12,75,2,48
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,16,49,3,52
Other,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,8,56,6,20
Working parttime,Don't know,Yes,No,Not at all likely,Very easy,Not too likely,"City,10-49999",$4 000 to 4 999,White,Female,11,44,2,25
Working fulltime,Don't know,No,No,Not at all likely,Not applicable,Not applicable,"City,10-49999",Don't know,White,Female,12,53,1,41
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Very likely,"City,10-49999",$12500 to 14999,Black,Male,10,73,2,27
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",$17500 to 19999,White,Female,12,57,2,28
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,11,72,2,0
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,8,58,3,0
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"City,10-49999",$40000 to 49999,Black,Male,12,36,3,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",$12500 to 14999,White,Female,12,26,0,31
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,12,51,2,53
